,"Country, Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
0,"
North America
","101,151,356",,"1,472,838",,"95,625,282",,"4,053,236","7,898",,,,,
1,"
Asia
","155,158,659","+248,788","1,430,803",+246,"147,781,169","+280,223","5,946,687","11,209",,,,,
2,"
South America
","57,510,386",+179,"1,298,292",,"53,437,599",+346,"2,774,495","10,505",,,,,
3,"
Europe
","195,916,939","+5,322","1,839,227",+91,"184,775,050","+97,240","9,302,662","6,983",,,,,
4,"
Oceania
","8,603,336","+45,913","12,160",+69,"8,114,112","+7,871","477,064",132,,,,,
5,"
Africa
","12,126,756",,"254,789",,"11,317,688",,"554,279",963,,,,,
6,"

",721,,15,,706,,0,0,,,,,
81,Latvia,"828,077",+188,"5,823 ",+3,"819,901",+227,"2,353",7,"448,409","3,153","7,253,692","3,927,923","1,846,699 "
82,Azerbaijan,"792,714",,"9,710 ",,"782,957",,47,,"76,870",942,"6,874,348","666,611","10,312,376 "
83,Saudi Arabia,"765,305",,"9,138 ",,"749,704",,"6,463",83,"21,353",255,"42,434,847","1,183,965","35,841,311 "
84,Sri Lanka,"663,800",,"16,513 ",,"646,945",,342,,"30,755",765,"6,486,117","300,514","21,583,399 "
85,Paraguay,"650,283",,"18,885 ",,"624,673",,"6,725",4,"89,097","2,587","2,633,737","360,856","7,298,577 "
86,Kuwait,"632,781",,"2,555 ",,"629,695",,531,4,"144,133",582,"8,098,920","1,844,748","4,390,258 "
87,Myanmar,"613,260",,"19,434 ",,"592,244",,"1,582",,"11,130",353,"8,168,040","148,237","55,101,073 "
88,Bahrain,"583,130",,"1,485 ",,"577,770",,"3,875",3,"321,530",819,"9,830,332","5,420,315","1,813,609 "
89,Palestine,"582,363",,"5,356 ",,"576,879",,128,17,"109,341","1,006","3,078,533","578,009","5,326,101 "
90,Dominican Republic,"582,193",,"4,377 ",,"576,632",,"1,184",6,"52,668",396,"3,334,468","301,651","11,054,074 "
91,Estonia,"576,047",,"2,561 ",,"518,188",,"55,298",6,"433,697","1,928","3,368,271","2,535,917","1,328,226 "
92,Venezuela,"523,491",,"5,719 ",,"516,691",,"1,081",230,"18,509",202,"3,359,014","118,763","28,283,279 "
93,Moldova,"518,793",,"11,521 ",,"504,142",,"3,130",49,"129,175","2,869","3,216,305","800,833","4,016,198 "
94,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,865",232,"3,693,367","34,846","105,991,764 "
95,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,209",912,"2,477,219","351,460","7,048,365 "
96,Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,282",843,"9,477,138","7,742,659","1,224,016 "
97,Ethiopia,"471,879",,"7,513 ",,"455,845",,"8,521",13,"3,921",62,"4,890,880","40,636","120,358,759 "
98,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,088",645,"4,030,048","1,192,910","3,378,333 "
99,Honduras,"425,113",,"10,899 ",,"132,401",,"281,813",105,"41,665","1,068","1,376,322","134,892","10,203,128 "
100,Armenia,"422,939",,"8,624  ",,"412,240",,"2,075",,"142,225","2,900","3,089,295","1,038,859","2,973,739 "
101,Réunion,"414,615",,777 ,,"406,484",,"7,354",10,"456,916",856,"1,603,660","1,767,272","907,421 "
102,Oman,"389,473",,"4,260 ",,"384,669",,544,2,"72,762",796,"25,000,000","4,670,556","5,352,682 "
103,Bosnia and Herzegovina,"377,829",,"15,787 ",,N/A,N/A,N/A,,"116,536","4,869","1,774,733","547,393","3,242,157 "
104,Qatar,"367,807",,677 ,,"365,878",,"1,252",,"130,994",241,"3,525,279","1,255,528","2,807,805 "
105,Kenya,"324,469",,"5,651 ",,"318,395",,423,,"5,792",101,"3,658,042","65,304","56,015,476 "
106,Zambia,"321,399",,"3,985 ",,"316,787",,627,,"16,602",206,"3,473,362","179,415","19,359,327 "
107,North Macedonia,"311,592",,"9,300 ",,"301,728",,564,,"149,573","4,464","2,044,880","981,600","2,083,212 "
108,Botswana,"307,126",,"2,695 ",,"303,845",,586,1,"125,789","1,104","2,026,898","830,153","2,441,597 "
109,Albania,"276,012",,"3,497 ",,"272,224",,291,2,"96,110","1,218","1,825,720","635,731","2,871,843 "
110,Algeria,"265,864",,"6,875 ",,"178,400",,"80,589",6,"5,862",152,"230,861","5,090","45,351,513 "
111,Nigeria,"256,004",,"3,143 ",,"250,024",,"2,837",11,"1,186",15,"5,160,280","23,910","215,819,444 "
112,Zimbabwe,"251,646",,"5,498 ",,"243,561",,"2,587",12,"16,477",360,"2,317,279","151,724","15,272,946 "
113,Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,414","1,663","4,248,188","6,583,511","645,277 "
114,Uzbekistan,"238,983",+8,"1,637 ",,"237,214",+19,132,23,"6,950",48,"1,377,915","40,069","34,388,425 "
115,Montenegro,"236,924",,"2,719 ",,"233,782",,423,6,"377,137","4,328","2,472,353","3,935,508","628,217 "
116,Mozambique,"225,648",,"2,203 ",,"223,319",,126,13,"6,856",67,"1,325,189","40,262","32,914,348 "
117,Laos,"209,922",+34,756 ,,N/A,N/A,N/A,,"28,081",101,"1,232,128","164,819","7,475,632 "
118,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,873",445,"1,907,195","283,464","6,728,170 "
